Document,Similar Doc 1,Similar Doc 2,Similar Doc 3,Similar Doc 4,Similar Doc 5,Similar Doc 6,Similar Doc 7,Similar Doc 8,Similar Doc 9,Similar Doc 10,Similar Doc 11,Similar Doc 12,Similar Doc 13,Similar Doc 14,Similar Doc 15,Similar Doc 16,Similar Doc 17,Similar Doc 18,Similar Doc 19,Similar Doc 20,Similar Doc 21,Similar Doc 22,Similar Doc 23,Similar Doc 24,Similar Doc 25,Similar Doc 26,Similar Doc 27,Similar Doc 28,Similar Doc 29,Similar Doc 30,Similar Doc 31,Similar Doc 32,Similar Doc 33,Similar Doc 34,Similar Doc 35,Similar Doc 36,Similar Doc 37,Similar Doc 38,Similar Doc 39,Similar Doc 40,Similar Doc 41,Similar Doc 42,Similar Doc 43,Similar Doc 44,Similar Doc 45,Similar Doc 46
1,4,2,26,28,3,10,8,24,22,9,23,18,14,5,29,15,16,11,7,20,27,19,30,25,21,6,13,12,17,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
2,28,14,18,9,10,7,4,22,1,8,5,23,15,11,25,24,26,19,3,29,6,21,16,13,12,30,27,20,17,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
3,24,4,5,29,22,14,10,23,9,2,30,1,28,26,25,18,8,11,13,16,20,7,6,27,15,12,19,21,17,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
4,5,24,3,9,1,10,2,16,28,22,18,26,23,14,20,29,11,25,15,8,30,7,19,27,21,13,6,12,17,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
5,4,24,3,9,2,10,14,28,18,22,16,11,29,26,23,8,25,1,7,15,20,13,12,19,21,27,6,30,17,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
6,12,7,14,13,8,11,10,2,22,28,18,9,26,24,25,23,27,3,4,30,15,29,19,21,5,20,1,16,17,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
7,6,12,14,11,10,8,13,2,28,9,18,22,26,25,15,4,5,24,27,3,23,1,20,21,19,29,16,30,17,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
8,11,13,6,12,10,14,7,2,28,26,22,9,24,1,18,4,3,15,27,19,5,25,23,29,20,30,16,21,17,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
9,10,2,5,4,14,28,18,11,7,3,24,8,13,22,25,26,16,12,15,6,1,21,20,19,27,29,23,30,17,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
10,9,13,11,28,8,14,7,2,12,24,4,18,6,26,22,3,25,5,15,27,16,1,29,20,23,30,19,21,17,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
11,8,13,10,6,7,14,12,22,28,9,18,2,15,26,24,27,23,25,4,29,5,3,19,21,30,1,16,20,17,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
12,6,7,8,13,14,11,10,22,9,2,28,18,26,3,5,25,24,27,4,20,15,1,23,29,30,19,16,21,17,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
13,11,10,8,6,12,14,7,9,28,22,2,24,18,3,27,26,25,20,4,30,15,19,5,23,16,29,1,21,17,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
14,6,7,10,28,12,11,2,8,13,22,25,9,26,3,24,18,23,29,4,5,27,30,15,21,1,19,16,20,17,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
15,19,18,21,28,17,20,25,16,2,10,11,23,26,27,24,22,29,9,4,14,7,8,30,1,5,13,3,6,12,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
16,20,15,4,19,18,17,24,10,9,28,2,23,5,26,3,22,27,14,1,25,11,21,29,30,7,13,8,6,12,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
17,19,15,20,16,18,26,27,10,30,28,24,29,21,22,4,8,2,25,14,23,1,9,11,13,3,7,6,12,5,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
18,15,19,2,28,9,25,21,10,26,23,22,20,11,4,16,14,27,7,24,29,30,5,17,8,3,6,1,13,12,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
19,15,18,17,20,16,2,21,28,23,26,10,25,11,9,8,4,27,22,24,14,29,13,30,7,1,5,6,3,12,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
20,16,19,15,18,17,4,10,28,24,9,26,2,27,23,22,3,8,13,25,11,5,21,14,7,30,1,29,6,12,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
21,15,18,25,26,28,19,2,23,22,9,14,27,11,10,24,29,4,16,20,7,30,5,1,6,8,17,13,3,12,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
22,30,23,28,24,25,14,26,11,2,29,3,18,10,4,27,8,7,9,13,6,15,12,5,1,21,19,16,20,17,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
23,30,25,29,28,22,24,18,2,27,3,26,15,14,4,11,19,10,16,1,21,5,9,8,20,6,7,13,12,17,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
24,3,29,4,30,23,22,25,5,28,10,26,14,9,2,18,11,27,15,16,8,1,20,13,19,21,6,7,12,17,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
25,23,29,28,30,22,24,14,26,18,27,15,2,10,21,9,3,11,4,7,19,5,8,6,13,16,20,12,1,17,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
26,28,27,29,25,14,22,18,1,24,10,8,23,11,4,2,30,21,15,3,9,7,19,16,6,20,5,13,17,12,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
27,26,28,25,30,23,22,18,29,15,11,24,10,14,8,2,9,21,20,19,13,4,16,7,6,3,1,12,17,5,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
28,10,25,23,2,14,22,26,18,30,29,24,9,27,15,11,4,7,1,8,21,13,5,3,16,19,6,20,12,17,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
29,25,24,23,30,26,28,3,22,27,14,2,4,10,18,15,11,5,9,8,1,21,19,16,7,20,6,13,17,12,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
30,23,22,29,25,24,28,27,26,3,18,14,10,4,15,2,11,13,8,16,20,21,19,9,6,1,17,7,5,12,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,29,26,28,27,23,1,30,25,3,22,14,4,10,5,9,24,18,21,2,11,8,13,16,15,7,6,20,12,19,17
32,31,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,29,26,28,27,23,1,30,25,3,22,14,4,10,5,9,24,18,21,2,11,8,13,16,15,7,6,20,12,19,17
33,31,32,34,35,36,37,38,39,40,41,42,43,44,45,46,47,29,26,28,27,23,1,30,25,3,22,14,4,10,5,9,24,18,21,2,11,8,13,16,15,7,6,20,12,19,17
34,31,32,33,35,36,37,38,39,40,41,42,43,44,45,46,47,29,26,28,27,23,1,30,25,3,22,14,4,10,5,9,24,18,21,2,11,8,13,16,15,7,6,20,12,19,17
35,31,32,33,34,36,37,38,39,40,41,42,43,44,45,46,47,29,26,28,27,23,1,30,25,3,22,14,4,10,5,9,24,18,21,2,11,8,13,16,15,7,6,20,12,19,17
36,31,32,33,34,35,37,38,39,40,41,42,43,44,45,46,47,29,26,28,27,23,1,30,25,3,22,14,4,10,5,9,24,18,21,2,11,8,13,16,15,7,6,20,12,19,17
37,31,32,33,34,35,36,38,39,40,41,42,43,44,45,46,47,29,26,28,27,23,1,30,25,3,22,14,4,10,5,9,24,18,21,2,11,8,13,16,15,7,6,20,12,19,17
38,31,32,33,34,35,36,37,39,40,41,42,43,44,45,46,47,29,26,28,27,23,1,30,25,3,22,14,4,10,5,9,24,18,21,2,11,8,13,16,15,7,6,20,12,19,17
39,31,32,33,34,35,36,37,38,40,41,42,43,44,45,46,47,29,26,28,27,23,1,30,25,3,22,14,4,10,5,9,24,18,21,2,11,8,13,16,15,7,6,20,12,19,17
40,31,32,33,34,35,36,37,38,39,41,42,43,44,45,46,47,29,26,28,27,23,1,30,25,3,22,14,4,10,5,9,24,18,21,2,11,8,13,16,15,7,6,20,12,19,17
41,31,32,33,34,35,36,37,38,39,40,42,43,44,45,46,47,29,26,28,27,23,1,30,25,3,22,14,4,10,5,9,24,18,21,2,11,8,13,16,15,7,6,20,12,19,17
